Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,12/25/2022,2645,N16701,ORD,23:57,0:07,107,101,10,0:01,6,0,0,0,0,0,2022-12-25,-13.4,-16.6,-9.9,0.0,30.0,263.0,19.4,,1018.4,
UA,12/26/2021,2416,,IAD,23:10,0:00,70,0,0,0:00,0,0,0,0,0,0,2021-12-26,14.1,5.6,16.7,0.0,0.0,328.0,14.4,,1013.6,
UA,12/26/2022,604,N495UA,DEN,15:01,15:05,193,208,4,14:59,6,0,0,0,0,0,2022-12-26,2.2,-3.2,7.2,0.0,50.0,170.0,18.0,,1021.1,
UA,12/26/2022,1968,,IAD,23:12,0:00,72,0,0,0:00,0,0,0,0,0,0,2022-12-26,-4.9,-11.0,0.6,0.0,0.0,189.0,5.0,,1024.5,
UA,12/26/2022,1998,N875UA,ORD,21:07,21:48,113,105,41,21:42,6,41,0,0,0,0,2022-12-26,-8.4,-11.6,-5.5,0.0,30.0,330.0,6.1,,1021.9,
UA,12/27/2021,2416,N463UA,IAD,23:10,0:20,70,60,70,0:13,7,32,0,0,0,38,2021-12-27,5.6,0.6,6.7,0.0,0.0,111.0,7.9,,1015.8,
UA,12/27/2022,604,N812UA,DEN,14:58,15:53,193,223,55,15:48,5,25,0,30,0,0,2022-12-27,8.2,1.7,16.7,0.0,0.0,211.0,20.2,,1001.5,
UA,12/27/2022,1998,N401UA,ORD,21:07,20:56,113,98,-11,20:50,6,0,0,0,0,0,2022-12-27,-9.6,-13.2,-3.8,0.0,30.0,204.0,19.4,,1019.9,
UA,12/27/2022,2488,N27724,EWR,23:14,0:12,75,59,58,0:06,6,48,0,0,0,10,2022-12-27,-0.6,-2.1,2.2,0.0,0.0,247.0,15.1,,1025.2,
UA,12/28/2021,2416,N812UA,IAD,23:10,22:49,70,60,-21,22:44,5,0,0,0,0,0,2021-12-28,6.7,1.7,13.9,0.5,0.0,8.0,4.3,,1011.3,
UA,12/28/2022,604,N4888U,DEN,14:58,14:50,193,189,-8,14:45,5,0,0,0,0,0,2022-12-28,7.9,-1.0,10.0,15.2,0.0,80.0,18.0,,995.5,
UA,12/28/2022,1998,N825UA,ORD,21:07,21:36,113,101,29,21:31,5,5,0,0,0,24,2022-12-28,-0.3,-3.8,7.2,0.0,30.0,189.0,26.3,,1009.3,
